Endeks	onceki	tepedeger	sonraki
13296	4.24637	5.01696	4.39289
13308	1.62529	1.72297	1.36752
13319	0.724461	0.743454	0.634921
13329	0.41514	0.4477	0.43956
13339	0.485687	0.507394	0.504681
13350	0.4477	0.45584	0.43956
13361	0.485687	0.4884	0.466694
13370	0.43142	0.442274	0.434134
13380	0.39072	0.409714	0.401574
13391	0.3663	0.388007	0.38258
13411	0.34188	0.352734	0.347307
13421	0.369014	0.37444	0.369014
13431	0.428707	0.43956	0.425994
13453	0.453127	0.461267	0.45584
13471	0.501967	0.510107	0.491114
13481	0.355447	0.3663	0.363587
13491	0.425994	0.436847	0.434134
13520	0.401574	0.412427	0.404287
13531	0.444987	0.453127	0.43956
13540	0.43956	0.4477	0.43142
13552	0.47212	0.499254	0.49654
13561	0.444987	0.45584	0.453127
13581	0.26048	0.263194	0.2442
13591	0.2442	0.249627	0.23606
13599	0.10582	0.108533	0.100393
13611	0.15466	0.173654	0.160087
13641	0.184507	0.200787	0.168227
13651	-0.021707	-0.00814	-0.013567
13661	-0.029847	-0.018993	-0.03256
13684	-0.108533	-0.10582	-0.11396
13701	-0.021707	-0.002713	-0.00814
13723	-0.328314	-0.322887	-0.331027
13730	-0.347307	-0.344594	-0.35816
13742	-0.3663	-0.347307	-0.352734
13752	-0.425994	-0.41514	-0.420567
13765	-0.371727	-0.369014	-0.379867
13790	-0.35002	-0.34188	-0.352734
13802	-0.3256	-0.303894	-0.306607
13821	-0.287614	-0.2849	-0.306607
13851	-0.21978	-0.214354	-0.225207
13860	-0.265907	-0.257767	-0.271334
13871	-0.30118	-0.287614	-0.30118
13882	-0.425994	-0.42328	-0.436847
13902	-0.510107	-0.499254	-0.504681
13910	-0.529101	-0.515534	-0.518247
13932	-0.605074	-0.591507	-0.596934
13940	-0.662054	-0.656627	-0.662054
13961	-0.710894	-0.708181	-0.716321
13971	-0.664767	-0.648487	-0.651201
13991	-0.691901	-0.681047	-0.686474
14002	-0.705467	-0.697327	-0.700041
14011	-0.694614	-0.691901	-0.694614
14031	-0.678334	-0.659341	-0.664767
14042	-0.708181	-0.697327	-0.705467
14052	-0.700041	-0.697327	-0.708181
14080	-0.697327	-0.686474	-0.691901
14091	-0.702754	-0.683761	-0.689187
14102	-0.545381	-0.526387	-0.534527
14112	-0.542667	-0.534527	-0.545381
14131	-0.537241	-0.526387	-0.529101
14142	-0.417854	-0.409714	-0.41514
14250	3.24244	3.24786	3.2343
14290	2.39859	2.40673	2.40402
14300	2.22222	2.22765	2.21951
14311	2.05128	2.06485	2.06214
14323	1.95089	1.95632	1.95089
14352	1.43264	1.43535	1.41365
14370	1.04192	1.05006	1.04735
14381	0.857414	0.860128	0.849274
14389	0.773301	0.776014	0.773301
14401	0.743454	0.765161	0.762447
14411	0.602361	0.605074	0.594221
14422	0.599647	0.605074	0.586081
14441	0.425994	0.43142	0.425994
14461	0.287614	0.29304	0.279474
14469	0.198074	0.200787	0.198074
14481	0.08954	0.094967	0.084113
14490	0.08954	0.100393	0.094967
14501	0.11396	0.1221	0.103107
14521	0.043413	0.051553	0.046127
14531	-0.03256	-0.027133	-0.03256
14541	0.03256	0.0407	0.03256
14550	-0.005427	0.002713	0
14560	0	0.00814	-0.002713
14570	-0.103107	-0.084113	-0.086827
14581	-0.119387	-0.111247	-0.119387
14590	-0.160087	-0.149233	-0.151947
14602	-0.26862	-0.265907	-0.274047
14630	-0.507394	-0.49654	-0.501967
14642	-0.613214	-0.607787	-0.624067
14660	-0.569801	-0.553521	-0.558947
14683	-0.873694	-0.862841	-0.868268
14701	-0.911681	-0.906254	-0.911681
14721	-1.00122	-0.993081	-1.00665
14732	-1.07991	-1.06905	-1.07448
14762	-1.1396	-1.13146	-1.14231
14782	-1.10161	-1.08805	-1.09619
14793	-1.00393	-0.998508	-1.00936
14840	0.111247	0.124813	0.116673
14849	-0.010853	-0.002713	-0.00814
14861	-0.206214	-0.19536	-0.206214
14870	-0.347307	-0.344594	-0.35002
14892	-0.499254	-0.49654	-0.504681
14911	-0.542667	-0.529101	-0.534527
14921	-0.596934	-0.588794	-0.594221
14931	-0.683761	-0.681047	-0.683761
14971	-1.19929	-1.18844	-1.19387
14999	-1.50862	-1.50319	-1.51133
15011	-1.73382	-1.72297	-1.72568
15030	-1.88034	-1.87763	-1.88034
15044	-1.9726	-1.96988	-1.9726
15070	-1.96446	-1.96174	-1.96988
15091	-2.11911	-2.10826	-2.11097
15100	-2.18424	-2.18152	-2.18966
15130	-2.41758	-2.41216	-2.4203
15142	-2.34704	-2.3389	-2.34161
15160	-2.5424	-2.53968	-2.55054
15170	-2.61566	-2.61023	-2.61837
15181	-2.56953	-2.55325	-2.56139
15192	-2.71605	-2.7052	-2.71062
15229	-2.83272	-2.83001	-2.83544
15253	-2.84086	-2.83001	-2.83272
15272	-2.99281	-2.98738	-2.9901
15293	-2.97924	-2.97653	-2.98467
15301	-2.98738	-2.98467	-2.99281
15321	-3.18546	-3.18274	-3.19088
15381	-3.83394	-3.82852	-3.83666
15392	-3.82852	-3.8258	-3.83123
15410	-3.90992	-3.89635	-3.89906
15430	-3.95604	-3.94519	-3.95062
15442	-4.20024	-4.19753	-4.20296
15451	-4.23009	-4.21924	-4.22195
15460	-4.28978	-4.28707	-4.28978
15471	-4.32506	-4.31963	-4.33048
15483	-4.39832	-4.3956	-4.39832
15503	-4.45258	-4.44444	-4.44716
15520	-4.54755	-4.53941	-4.54484
15532	-4.59096	-4.58825	-4.59096
15540	-4.52313	-4.50957	-4.51228
15552	-4.477	-4.46886	-4.477
15572	-4.44173	-4.4363	-4.44444
15579	-4.51228	-4.50957	-4.51228
15591	-4.57197	-4.56383	-4.56654
15600	-4.63166	-4.62624	-4.63166
15611	-4.71035	-4.70764	-4.72392
15622	-4.72121	-4.71849	-4.73206
15639	-4.58825	-4.58554	-4.5991
15651	-4.8433	-4.83788	-4.84059
15663	-4.59639	-4.59368	-4.61267
15675	-4.67237	-4.66965	-4.67237
15710	-4.53399	-4.52042	-4.52585
15722	-4.59368	-4.59096	-4.59639
15732	-4.50414	-4.50143	-4.51228
15763	-4.39289	-4.38746	-4.39289
15831	-4.477	-4.46615	-4.46886
15842	-4.44444	-4.43359	-4.44173
15851	-4.477	-4.47158	-4.477
15861	-4.40917	-4.40646	-4.41731
15872	-4.36033	-4.3549	-4.36304
15890	-4.43088	-4.42545	-4.42816
15900	-4.40374	-4.39832	-4.40374
15911	-4.42274	-4.41188	-4.4146
15930	-4.47158	-4.46886	-4.47429
15941	-4.46615	-4.46072	-4.47158
15952	-4.46072	-4.45801	-4.46344
15962	-4.50414	-4.49328	-4.496
15971	-4.52042	-4.51228	-4.51499
16002	-4.5584	-4.54755	-4.55026
16021	-4.56926	-4.56654	-4.57468
16033	-4.49328	-4.48243	-4.48786
16060	-4.49328	-4.48786	-4.49328
16119	-4.34948	-4.34134	-4.3549
16130	-4.6398	-4.63438	-4.6398
16142	-4.53941	-4.52856	-4.53941
16180	-4.44444	-4.44173	-4.44444
16200	-4.48514	-4.477	-4.48243
16251	-4.36847	-4.36576	-4.38204
16262	-4.40917	-4.40646	-4.41731
16272	-4.35219	-4.33862	-4.34676
16282	-4.50414	-4.496	-4.50143
16292	-4.53941	-4.52585	-4.53127
16323	-4.64794	-4.64523	-4.64794
16331	-4.59639	-4.58825	-4.59096
16362	-4.58282	-4.5774	-4.58011
16370	-4.57197	-4.56654	-4.57468
16401	-4.64252	-4.62895	-4.63166
16411	-4.54755	-4.53941	-4.54213
16433	-4.50414	-4.496	-4.49871
16453	-4.477	-4.47158	-4.477
16470	-4.52313	-4.52042	-4.53127
16482	-4.49871	-4.48786	-4.49057
16491	-4.50143	-4.496	-4.50414
16511	-4.496	-4.49328	-4.50143
16521	-4.477	-4.47158	-4.47972
16531	-4.39832	-4.38746	-4.39289
16543	-4.49871	-4.496	-4.50414
16562	-4.49871	-4.49057	-4.49328
16569	-4.5367	-4.53399	-4.5367
16582	-4.51499	-4.50957	-4.51771
16593	-4.46072	-4.45258	-4.45801
16603	-4.33862	-4.3332	-4.34676
16651	-4.38204	-4.3739	-4.38746
16691	-4.39018	-4.38746	-4.39018
16701	-4.36033	-4.35762	-4.36576
16712	-4.42274	-4.41731	-4.42002
16721	-4.32234	-4.31963	-4.32234
16754	-4.11613	-4.11342	-4.11884
16760	-4.1297	-4.12698	-4.13241
16769	-4.14055	-4.13512	-4.14055
16780	-4.18939	-4.17854	-4.18125
16792	-4.30606	-4.30335	-4.3142
16803	-4.27893	-4.27079	-4.28707
16832	-4.2925	-4.28436	-4.28707
16842	-4.24908	-4.24366	-4.24908
16860	-4.2735	-4.26808	-4.2735
16871	-4.25722	-4.24637	-4.24908
16881	-4.28164	-4.27622	-4.28436
16900	-4.22466	-4.21924	-4.22466
16921	-4.22466	-4.21924	-4.22466
16931	-4.24637	-4.24366	-4.24637
16943	-4.2518	-4.24908	-4.2518
16970	-4.1921	-4.18668	-4.18939
16981	-4.1704	-4.16497	-4.1704
17013	-4.13784	-4.13512	-4.14055
17020	-4.1297	-4.12698	-4.1297
17032	-4.09442	-4.089	-4.09714
17051	-4.15954	-4.15683	-4.16497
17081	-4.17582	-4.1704	-4.17582
17092	-3.99674	-3.97775	-3.98046
17141	-4.10799	-4.10256	-4.11342
17150	-4.20296	-4.19753	-4.20024
17161	-4.17311	-4.16226	-4.17582
17192	-4.48786	-4.48514	-4.49328
17202	-4.44444	-4.44173	-4.44716
17223	-4.28164	-4.27893	-4.2925
17235	-4.19482	-4.18939	-4.1921
17250	-4.13241	-4.12698	-4.13241
17261	-4.19753	-4.17854	-4.18125
17272	-4.24637	-4.24094	-4.24366
17291	-4.30606	-4.30064	-4.30606
17311	-4.29792	-4.2925	-4.30064
17323	-4.22738	-4.22195	-4.23552
17336	-4.29521	-4.28978	-4.29521
17378	-4.24637	-4.24366	-4.24637
17391	-4.20296	-4.18939	-4.1921
17403	-4.17854	-4.17582	-4.18125
17421	-4.18668	-4.18125	-4.18396
17451	-4.17582	-4.1704	-4.17311
17463	-4.15683	-4.15412	-4.15954
17522	-4.09985	-4.09171	-4.09714
17531	-4.11342	-4.1107	-4.11613
17548	-4.16226	-4.15683	-4.15954
17571	-4.11342	-4.09985	-4.10256
17592	-3.78239	-3.77696	-3.80138
17643	-2.83544	-2.8273	-2.83544
17654	-2.84358	-2.84086	-2.84358
17661	-2.78388	-2.77303	-2.77574
17672	-2.75132	-2.73776	-2.74047
17683	-2.72962	-2.71605	-2.71876
17697	-2.71876	-2.71334	-2.71605
17712	-2.69434	-2.69163	-2.69434
17729	-2.52069	-2.51798	-2.5234
17760	-2.61837	-2.61566	-2.62108
17772	-2.69706	-2.69434	-2.71062
17781	-2.81916	-2.81644	-2.81916
17793	-2.85443	-2.849	-2.85714
17824	-2.78388	-2.78117	-2.7866
17841	-2.75946	-2.75675	-2.76218
17862	-2.58852	-2.5831	-2.58581
18020	1.16131	1.16402	1.15045
18072	0.35816	0.363587	0.360874
18103	-0.035273	-0.03256	-0.043413
18112	-0.108533	-0.10582	-0.108533
18120	-0.046127	-0.0407	-0.043413
18151	-0.157373	-0.143807	-0.15466
18170	-0.249627	-0.241487	-0.246914
18178	-0.287614	-0.279474	-0.282187
18192	-0.322887	-0.31746	-0.3256
18230	-0.347307	-0.339167	-0.344594
18240	-0.46398	-0.461267	-0.466694
18281	-0.889974	-0.881834	-0.887261
18291	-0.984941	-0.982228	-0.990368
18311	-1.02021	-1.00936	-1.01207
18332	-1.0582	-1.05549	-1.06905
18350	-1.12332	-1.12061	-1.13146
18381	-1.26984	-1.26713	-1.27527
18399	-1.31868	-1.31597	-1.31868
18432	-1.40822	-1.4028	-1.40551
18485	-1.55746	-1.55474	-1.56017
18513	-1.61444	-1.60358	-1.60901
18533	-1.69041	-1.68769	-1.69312
18550	-1.74467	-1.73653	-1.73925
18562	-1.65785	-1.65242	-1.65514
18570	-1.59273	-1.58187	-1.59001
18591	-1.82879	-1.82607	-1.8315
18600	-1.80708	-1.80437	-1.81251
18612	-1.78266	-1.77452	-1.77995
18634	-1.81251	-1.80708	-1.81522
18662	-1.88034	-1.87492	-1.88305
18674	-1.77723	-1.77181	-1.78266
18704	-1.72839	-1.72026	-1.72568
18720	-1.69583	-1.67684	-1.67955
18730	-1.88305	-1.88034	-1.88305
18742	-1.89933	-1.89662	-1.90205
18763	-2.06485	-2.06214	-2.06485
18771	-2.10012	-2.09741	-2.10555
18792	-2.18424	-2.18152	-2.18966
18821	-2.24122	-2.23579	-2.2385
18872	-2.33076	-2.32262	-2.32533
18903	-2.32804	-2.32262	-2.33347
18912	-2.3606	-2.35518	-2.3606
18938	-2.39859	-2.39588	-2.39859
18952	-2.42844	-2.41758	-2.4203
18970	-2.32804	-2.3199	-2.33347
19064	-2.40673	-2.40402	-2.41216
19090	-2.55054	-2.54511	-2.55596
19102	-2.65093	-2.64822	-2.65093
19107	-2.67535	-2.67264	-2.67806
19124	-2.58581	-2.5831	-2.59124
19142	-2.54511	-2.53968	-2.55325
19184	-2.58581	-2.5831	-2.59395
19211	-2.4827	-2.47999	-2.48542
19232	-2.5641	-2.56139	-2.56682
19263	-2.77846	-2.77574	-2.77846
19271	-2.74318	-2.73776	-2.74318
19282	-2.72148	-2.71876	-2.7269
19303	-2.76489	-2.76218	-2.77032
19321	-2.76489	-2.75675	-2.76218
19351	-2.77574	-2.77303	-2.77846
19382	-2.81102	-2.8083	-2.81373
19392	-2.78931	-2.7866	-2.79745
19401	-2.868	-2.86257	-2.86528
19422	-2.84358	-2.83544	-2.84358
19451	-2.89784	-2.88699	-2.8897
19465	-2.8897	-2.88428	-2.88699
19473	-2.82187	-2.81102	-2.81644
19487	-2.84086	-2.83815	-2.84086
19512	-2.94397	-2.93583	-2.94397
19525	-2.9304	-2.92769	-2.9304
19553	-2.849	-2.84629	-2.85172
19561	-2.75946	-2.74861	-2.75675
19586	-2.94668	-2.94126	-2.94397
19591	-2.94668	-2.94397	-2.94668
19622	-2.95754	-2.95482	-2.96296
19652	-2.91684	-2.91412	-2.91684
19683	-2.76218	-2.75675	-2.76489
19692	-2.71876	-2.71062	-2.71605
19703	-2.63736	-2.63194	-2.63736
19730	-2.65907	-2.65636	-2.66721
19743	-2.80559	-2.79202	-2.79474
19762	-2.86528	-2.85986	-2.86528
19772	-2.86528	-2.85443	-2.85986
19791	-2.88428	-2.87885	-2.88156
19821	-2.88156	-2.87885	-2.88156
19844	-2.87614	-2.87342	-2.87614
19892	-2.85714	-2.85172	-2.85443
19902	-2.75675	-2.75404	-2.75675
19916	-2.53968	-2.53697	-2.53968
19967	-1.17487	-1.17216	-1.17487
